company_name,company_number,company_status,company_type,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,address_line_2,region,country,SICCODE_0,SICCODE_1,SICCODE_2,SICCODE_3,Value
REGAL TRADE LIMITED,7809417,dissolved,ltd,27-02-2018,13-10-2011,['56302'],,51 High Street,Scunthorpe,DN17 4LB,Crowle,North Lincolnshire,,56302,,,,TRUE
HOLDENS INN LIMITED,7810444,dissolved,ltd,29-09-2015,14-10-2011,['56302'],,6b Parkway,St. Albans,AL3 6PA,Porters Wood,Hertfordshire,United Kingdom,56302,,,,TRUE
BEANIES BARS LIMITED,7802435,dissolved,ltd,19-05-2015,07-10-2011,['56302'],,Layton House 3-5 Westcliffe Drive,Blackpool,FY3 7BJ,Layton Square,,,56302,,,,TRUE
HOLYWELL INNS LTD,7803315,dissolved,ltd,28-12-2016,10-10-2011,['56302'],,Eagle Point,Segensworth Fareham,PO15 5TD,Little Park Farm Road,Hampshire,,56302,,,,TRUE
WYNDER VETINARI & POONS LTD,7812685,dissolved,ltd,16-02-2016,17-10-2011,['56302'],,Queens Head Hotel,Rye,TN31 7LH,Landgate,East Sussex,,56302,,,,TRUE
SENTRY PUBS LTD,7814291,dissolved,ltd,03-11-2016,18-10-2011,['56302'],,Xl Business Solutions Ltd Premier House,Cleckheaton,BD19 3TT,Bradford Road,,,56302,,,,TRUE
BLACK BULL INN (WELTON) LIMITED,7817085,dissolved,ltd,16-03-2021,20-10-2011,['56302'],,9 Lincoln Road,Lincoln,LN2 3HZ,Welton,,,56302,,,,TRUE
FRANK'S FRONT ROOM LIMITED,7818005,dissolved,ltd,07-10-2014,20-10-2011,['56302'],,93 Bohemia Road,St Leonards On Sea,TN37 6RJ,,East Sussex,England,56302,,,,TRUE
MULBERRY HOSPITALITY LIMITED,7816594,dissolved,ltd,22-03-2022,19-10-2011,['56302'],,6 Ickworth Crescent,Ipswich,IP4 5PQ,Bixley Farm,Suffolk,,56302,,,,TRUE
SHAFREE LIMITED,7819035,dissolved,ltd,20-12-2016,21-10-2011,['56302'],,Unit 174-176 Station Road,Harrow,HA1 2RH,,Middlesex,,56302,,,,TRUE
THREE GRACES LTD,7817999,dissolved,ltd,25-11-2016,20-10-2011,['56302'],,Saxon House,Cheltenham,GL52 6QX,Saxon Way,Gloucestershire,,56302,,,,TRUE
THE FLYING CLUB CAFE LIMITED,7818119,dissolved,ltd,10-02-2015,20-10-2011,['56302'],,The Annexe Treedogan Middle House,Barry,CF62 3BS,Tredogan,South Glamorgan,,56302,,,,TRUE
THE RIFLEMAN (NANTWICH) LIMITED,7820449,dissolved,ltd,28-06-2016,24-10-2011,['56302'],,The Rifleman 68 James Hall Street,Cheshire,CW5 5QE,Nantwich,,,56302,,,,TRUE
B B MANAGEMENT LIMITED,7824754,dissolved,ltd,16-02-2016,26-10-2011,['56302'],,107 Cliff Gardens,Scunthorpe,DN15 7BJ,,South Humberside,,56302,,,,TRUE
RL FOUNTAINS LIMITED,7825490,dissolved,ltd,26-11-2016,27-10-2011,['56302'],,WILSON FIELD LIMITED,Sheffield,S11 9PS,The Manor House 260 Ecclesall Road South,South Yorkshire,,56302,,,,TRUE
THE BEER & BOOZE LIMITED,7825044,dissolved,ltd,19-01-2016,27-10-2011,['56302'],,35 Muriel Road,Leicester,LE3 6BH,,,England,56302,,,,TRUE
CROSS KEYS (DARFIELD) LTD,7826632,dissolved,ltd,04-04-2017,27-10-2011,['56302'],,The Cross Keys Church Street,Barnsley,S73 9JX,Darfield,South Yorkshire,,56302,,,,TRUE
BUCKINGHAMS BLACKPOOL LIMITED,7827886,dissolved,ltd,05-04-2016,28-10-2011,['56302'],,Carringtons Accountants,Bradford,BD1 4AB,14 Mill Street,West Yorkshire,United Kingdom,56302,,,,TRUE
PROGRESSIVE INNS NW LIMITED,7829267,active,ltd,,31-10-2011,['56302'],,Hanover Buildings,Liverpool,L1 3DN,11-13 Hanover Street,Merseyside,,56302,,,,TRUE
THE GUNMAKERS PUBLIC HOUSE LIMITED,7826465,dissolved,ltd,02-07-2019,27-10-2011,['56302'],,14 Gloucester Place Mews,London,W1U 8BA,,,,56302,,,,TRUE
BLACK HORSE NW LTD,7828296,dissolved,ltd,14-08-2018,31-10-2011,['56302'],,20 Stanley Avenue,Wirral,CH63 5QF,,,,56302,,,,TRUE
BAPH LIMITED,7831357,dissolved,ltd,10-11-2015,01-11-2011,['56302'],,1st Floor,Frinton-On-Sea,CO13 9AB,143 Connaught Avenue,Essex,United Kingdom,56302,,,,TRUE
THE KERRYMAN PUB COMPANY LIMITED,7830599,dissolved,ltd,02-05-2017,01-11-2011,"['56302', ' 96090']",,35 Ludgate Hill,Birmingham,B3 1EH,,,,56302,96090,,,TRUE
LEISURE 24/7 LIMITED,7830672,dissolved,ltd,16-06-2015,01-11-2011,['56302'],,Middleton Mill,Taunton,TA3 7PT,Churchstanton,Somerset,,56302,,,,TRUE
FURSTY MEDIA LIMITED,7831606,dissolved,ltd,22-10-2014,02-11-2011,['56302'],,Wesley House Huddersfield Road,Batley,WF17 9EJ,Birstall,,,56302,,,,TRUE
MORLEY WOOD (BRANDON) LIMITED,7831420,dissolved,ltd,25-04-2017,01-11-2011,['56302'],,Innscribe Uk,Bradford,BD14 AB,14 Mill Street,West Yorkshire,,56302,,,,TRUE
RLM SOUTH LTD,7831755,dissolved,ltd,01-09-2015,02-11-2011,['56302'],,2 Acorn Court,Wymondham,NR18 9AL,Bridge Industrial Estate,Norfolk,,56302,,,,TRUE
RLM WEST LTD,7831710,dissolved,ltd,14-10-2014,02-11-2011,['56302'],,2 Acorn Court,Wymondham,NR18 9AL,Bridge Industrial Estate,Norfolk,England,56302,,,,TRUE
JAM TREE CLAPHAM LTD,7832556,dissolved,ltd,13-04-2021,02-11-2011,['56302'],,Aquum,London,SW4 7UL,68-70 Clapham High Street,,England,56302,,,,TRUE
